r6g	0.606
800	0.0588754687500000	0.245280000000000
810	0.0595763671875000	0.218000000000000
820	0.0596931835937500	0.197770000000000
830	0.0595179589843750	0.183210000000000
840	0.0593427343750000	0.172910000000000
850	0.0595179589843750	0.165460000000000
860	0.0602188574218750	0.159470000000000
870	0.0617958789062500	0.153800000000000
880	0.0640153906250000	0.148340000000000
890	0.0666437597656250	0.143280000000000
900	0.0694473535156250	0.138780000000000
910	0.0722509472656250	0.135000000000000
920	0.0747040917968750	0.132120000000000
930	0.0766315625000000	0.130300000000000
940	0.0777997265625000	0.129710000000000
950	0.0779165429687500	0.130530000000000
960	0.0768067871093750	0.132910000000000
